143	I love you
2F4U	Too Fast For You
2L8	Too Late
4U	For you
4YEO	For Your Eyes Only
FYEO	 For Your Eyes Only
AAMOF	 As A Matter Of Fact
Acc	Account
ACK	Acknowledgment
AFAIC	As Far As I'm Concerned
AFAICT	As Far As I can tell
AFAIK	As Far As I Know
AFAIR	As Far As I Remember
AFK	Away from Keyboard
AGF	Assume good faith
AISI	As I see it
AIUI	As I understand it
AKA	Also known as
ANSCD	And now something completely different …
ASAP	As soon as possible
ASL	Age Sex Location
ATM	At The Moment
B2K	Back To Keyboard
BTK	Back To Keyboard
B2T	Back To Topic
BTT	Back To Topic
BB	Bye, Bye
BBIAB	Be Back In A Bit
BBL	Be Back Later
BBS	Be Back Soon
BD	Bis dann
BF	Beste Freunde
BG	breitgrins
BOFH	Bastard Operator From Hell
BR	Best regards
BRB	Be Right Back
BTAIM	Be that as it may
BTDT	Been there, done that
BTW	By The Way
C&P 	 Copy and Paste
CP	Copy and Paste
C6	Cybersex
CS	Cybersex
CU	See You
CUL8R	See You later
CYA	See Ya
Dafuq	What the fuck
DAU	Dümmster anzunehmender User
DL	Download
DFTT	Don't Feed The Troll
DND	Do Not Disturb
DUW	Duck und weg
EOBD	End Of Business Day
EOD	End Of Discussion
EOM	End of message
EOT	End Of Thread
FACK	Full Acknowledge
FAQ	Frequently Asked Questions
FFS	For Fuck's Sake
FG	Fieses Grinsen
FTR	For The Record
FTW	For The Win
FU	Fuck you
FUBAR	Fucked Up Beyond All Repairs/Recognition
FUP	Follow Up
FWIW	For whatever it's worth
FYEO	For Your Eyes Only
4YEO	For Your Eyes Only
FYI	For Your Information/Interest
G	Grins
G2G	I've Got To Go!
GTG	I've Got To Go!
GF	Girlfriend
GG	großes Grinsen
GIDF	Google ist dein Freund
GIYF	Google ist dein Freund
GJ	Good Job
GL	Good Luck
GLG	Ganz liebe Grüße
GN	Good Night
GN8	Good Night
Graka	Grafikkarte
GraKa	 Grafikkarte
Grats	Congratulations
HAND	Have a nice day
HDF	Halt die Fresse
HDGDL	Hab' dich ganz doll lieb
HDL	Hab' dich lieb
HEL	Hab' euch lieb
HEAGDL	Hab' euch alle ganz doll lieb
HF	Have fun
HGW	Herzlichen Glückwunsch
HTH	Hope This Helps
IANAL	I am not a lawyer
IC	I See
IDA	Ich dich auch
IDK	I don't know
IEA	Ich euch auch
IIRC	If I Remember Correctly
ILD	Ich liebe dich
ILU	I Love You
ILY	I Love You
IMHO	In My Humble/Honest Opinion
IMNSHO	In My Not So Humble Opinion
IMO	In My Opinion
IOW	In other words
IRL	In Real Life
JFYI	Just For Your Information
JFTR	Just for the record
JK	Just Kidding
k	OK
kk	OK
kay	OK
kA	Keine Ahnung
kB	Kein Bock
kP	Kein Plan
kD	Kein Ding
kT	kein Text
kwT	kein (weiterer) Text
LD	Lieb' Dich
LG	Liebe Grüße
LMAO	Laughing My Ass Off
LMFAO	Laughing My Fucking Ass Off
LMGTFY	Let Me Google That For You
LOFL	Lying on the floor Laughing
LOL	Laughing Out Loud
mE	Meines Erachtens
mk	hm okay
mkay	hm okay
mMn	Meiner Meinung nach
mom	Moment
MOTD	Message Of The Day
N/A 	 Not Available/Applicable
n1	Nice one
n8	Night
nc	no comment
nb	Newbie
noob	Newbie
n00b	Newbie
np	No Problem
NPOV	Neutral point of view
NP: 	 Now Playing:
NSFW	Not safe for work
NSY	Not Seen Yet
NVM	Never mind
O	Oh really?
OMFG	Oh My Fucking God
OMG	Oh My God
OP	Original Post
OT	Off Topic
oT	ohne Text
owT	Ohne weiteren Text
OWT	Ohne weiteren Text
OTOH	On the other hand
PEBKAC	Problem exists between keyboard and chair
PLONK	Please Leave Our Newsgroup, Kid
PLS	Please
PLZ	Please
PLX	Please
POV	Point of view
PPL	people
Q&A 	  Questions and answers
QFT	 Quoted For Truth
QRY	Query
RE	Re
RE	Returned
RL	Real life
RLY?	 Really?
ROFL	Rolling on floor laughing
ROTFL	Rolling on floor laughing
ROFLCOPTER	 eine animierte ASCII-Art-Darstellung
ROFLMAO	Rolling on the floor laughing my ass off
RTFM	Read the fucking manual
SCNR	Sorry, Could Not Resist
SIG	Signatur
SMH	Shaking My Head
SNAFU	Situation Normal All Fucked Up
SO	Significant other
Sry	Sorry
STFU	Shut The Fuck Up
SuFu	Suchfunktion
TBH	to be honest
TGIF	Thank God It's Friday
THX	Thank You
TNX	Thank You
TX	Thank You
TY	Thank You
TIA	Thanks In Advance
TL	Too Long
DR	Didn't Read
TMI	Too Much Information
TOFU	Text oben Fullquote unten
TTYL	Talk To You Later
TTUL	Talk To You Later
T2UL	Talk To You Later
U	You
UTFSE	Use The Fucking Search-Engine
VLG	viele liebe Grüße
VG	viele Grüße
vlt	vielleicht
vllt	Vielleicht
w00t	Wie bitte?
w8	wait
WB	Welcome back
WD	Wieder da
WE	Weekend
WFM	Works for me
wfm	Works for me
WTF	What the fuck
wtf	What the fuck
WTH	the hell
wth	What the hell
XOXO	Hugs and kisses!
Y?	 Why?
YAW	You are Welcome.
YRW	You are Welcome.
YW	You are Welcome.
YHBT	You have been trolled.
YMMD	You made my day.
YMMV	Your mileage may vary
YOLO	You only live once.
